key,english,Chinese simplified,Chinese traditional
integrations.stripe.status.not-connected-or-suspended,Setup integration,设置集成,設定整合
integrations.stripe.status.connected,Connected,已连接,已連接
integrations.stripe.status.pending,Connection in progress,连接进行中,連接進行中
integrations.stripe.status.missing-info,Additional details required,需要补充信息,需要補充信息
integrations.receive-funds.stripe.title.pending,Receive card payments via Stripe,通过 Stripe 接收卡付款,通過 Stripe 接收卡付款
integrations.receive-funds.stripe.description.pending,Your Stripe account verification is pending,您的 Stripe 账户验证正在审核中,您的 Stripe 賬戶驗證正在審核中
integrations.receive-funds.stripe.title.not-connect,Receive card payments via Stripe,通过 Stripe 接收卡付款,通過 Stripe 接收卡付款
integrations.receive-funds.stripe.description.not-connect,Connect your Stripe account to get started,请连接您的 Stripe 账户以开始使用,請連接您的 Stripe 賬戶以開始使用
integrations.receive-funds.stripe.title.missing-info,Receive card payments via Stripe,通过 Stripe 接收卡付款,通過 Stripe 接收卡付款
integrations.receive-funds.stripe.description.missing-info,Your Stripe account requires additional information,您的 Stripe 账户需要补充信息,您的 Stripe 賬戶需要補充訊息
integrations.receive-funds.stripe.modal.title,Select how you want to receive card payments,请选择您希望如何接收卡付款,請選擇您希望如何接收卡付款
integrations.receive-funds.stripe.modal.options.invoices,Receive card payments by creating and sharing an invoice,通过创建并分享发票接收卡付款,通過創建並分享發票接收卡付款
integrations.receive-funds.stripe.modal.options.payment-links,Receive card payments by creating and sharing a payment link,通过创建并分享付款链接接收卡付款,通過創建並分享付款鏈接接收卡付款
integrations.receive-funds.stripe.modal.preselected.title,We’ve preselected Stripe as a payment method in the next step!,我们已在下一步预先选择 Stripe 作为付款方式！,我們已在下一步預先選擇 Stripe 作為付款方式！
integrations.receive-funds.stripe.title.not-connected,Receive card payments via Stripe,通过 Stripe 接收卡付款,通過 Stripe 接收卡付款
integrations.cta.complete-verification,Complete verification,完成验证,完成驗證
integrations.cta.configure-integration,Configure integration,配置集成,配置整合
integrations.connect-seamless.modal.stripe.title,Connect your Stripe account to Aspire for seamless payments!,将您的 Stripe 账户连接至 Aspire，享受无缝收款体验！,將您的 Stripe 賬戶連接至 Aspire，享受無縫收款體驗！
integrations.connect-seamless.modal.stripe.description,"Accept payments via cards, Apple Pay, Google Pay, and other methods for Aspire invoices and payment links. Enjoy faster settlements compared to Stripe's standard process (subject to Stripe's credit review). Check [FAQs]({faqURL}) for more information.",通过卡、Apple Pay、Google Pay 等方式，接受 Aspire 发票和付款链接的付款。相比 Stripe 的标准流程，享受更快速的资金结算（需经 Stripe 信用审核）。查看 [常见问题解答]({faqURL}) 了解更多信息。,通過卡、Apple Pay、Google Pay 等方式，接受 Aspire 發票和付款鏈接的付款。相較於 Stripe 的標準流程，享有更快速的資金結算（需經 Stripe 信用審核）。請參閱 [常見問題]({faqURL}) 以了解更多信息。
integrations.connect-seamless.modal.stripe.cta,Proceed to set up Stripe,继续设置 Stripe,繼續設定 Stripe
integrations.stripe.header.title,Stripe,Stripe,Stripe
integrations.stripe.header.description,Accept payments for Aspire invoices and payment links,接受 Aspire 发票和付款链接的付款,接受 Aspire 發票和付款鏈接的付款
integrations.stripe.available-soon-title,Stripe integration will be available on your Aspire app soon!,Stripe 集成功能即将在您的 Aspire 应用上线！,Stripe 整合功能即將在您的 Aspire 應用程式上線！
integrations.stripe.available-soon-description,"Until then, to connect to Stripe open this feature in your mobile browser.",在此之前，请使用手机浏览器打开此功能以连接 Stripe。,在此之前，請使用手機瀏覽器開啟此功能以連接 Stripe。
integrations.stripe.button-title-open-in-browser,Open in browser,在浏览器中打开,在瀏覽器中開啟
